danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,ID,duration_ms,time_signature,genre,song_name
0.554,0.961,11,-2.19,0,0.0424,0.000755,0.00103,0.115,0.252,150.046,audio_features,0YdsHxzG0oG9zR7iIbjbNW,140759,4,Trap Metal,Anonymous
0.449,0.645,4,-4.784,0,0.0366,0.00956,0.00846,0.107,0.0589,219.692,audio_features,1PeIKwD4ifLR2jYWCsUgnX,207442,4,Dark Trap,Swan
0.583,0.688,9,-4.871,0,0.339,0.0113,0.0,0.0973,0.651,128.648,audio_features,2i7qPkBPTxp6r6fhOfNhsU,166082,4,Trap Metal,FUCKEVERYONE
0.885,0.905,5,-0.72,0,0.0843,0.249,0.00294,0.108,0.23,120.005,audio_features,5rC6VxvUj8T4XZtuURU0RZ,131305,4,Dark Trap,Magazine
0.818,0.42,1,-6.149,1,0.383,0.145,0.0,0.101,0.141,195.996,audio_features,6aCrMiyXXSrs0MOYDvyOgC,140510,4,Underground Rap,Still
0.654,0.601,1,-6.071,1,0.312,0.059,0.0,0.0994,0.436,128.919,audio_features,1SpUSBx8HWUCV7wLCYY8EF,262520,4,RnB,Turn The Page
0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,172.018,audio_features,7rC5Pl8rQSX4myONQHYPBK,205147,4,Dark Trap,Mob Ties
0.608,0.789,8,-2.971,1,0.335,0.00105,3.08e-05,0.0884,0.386,172.093,audio_features,2LQTHb4rEtKpxQgeqdesmc,141867,4,Hiphop,Just Another Day
0.322,0.733,7,-5.943,1,0.0342,0.286,0.934,0.216,0.0375,129.976,audio_features,6EAANyGLOWZ5uS1VflI8BL,291692,4,Dark Trap,Moonlight
0.45,0.3,7,-9.53,1,0.0477,0.634,3.1e-06,0.142,0.207,192.788,audio_features,71AaGUlQ7I5dRgDEQpdnI4,160160,4,RnB,Every Kind Of Way
0.568,0.833,9,-5.793,1,0.0519,0.00183,0.0,0.154,0.439,121.956,audio_features,1bHF0LtICgoIS5Sm9PeggG,216921,4,Trap Metal,Fire in Palace
0.73,0.698,7,-5.089,1,0.508,0.0986,0.0,0.322,0.711,176.146,audio_features,3F14hbIqy1JKKLTb1mzdYV,267013,4,Hiphop,My Dad's Gone Crazy
0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,192.058,audio_features,3wYRLYuO1M88d8woWUIxct,210607,4,Hiphop,Ignorantes
0.752,0.772,8,-2.921,1,0.379,0.402,0.0,0.119,0.183,160.026,audio_features,4OYU05kHFJK6ajJNlQiQ6B,130130,4,Underground Rap,STOOPID!!!
0.615,0.587,1,-9.31,1,0.0569,0.324,0.00807,0.272,0.247,146.114,audio_features,0Lxs0Bl5OeNks8h05JZPAv,212500,4,Underground Rap,CALIFORNIA/EXIT
0.65,0.723,1,-5.807,1,0.172,0.311,0.0,0.412,0.556,146.076,audio_features,7G0PgkkbavF7Rh4zNrUxH0,271653,4,Underground Rap,Guap
0.551,0.725,7,-5.924,1,0.0317,5.72e-05,0.0711,0.041,0.273,127.943,audio_features,0qwCl8IsviFwXsbxrXbjCE,233267,4,Emo,"Swing, Swing"
0.745,0.759,0,-4.039,1,0.21,0.323,9.42e-06,0.073,0.389,138.01,audio_features,4K4dIdBFEYZh4mUWRreyna,229616,4,Rap,Greens
0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,audio_features,4S7YHmlWwfwArgd8LfSPud,238307,4,Underground Rap,L$D
0.824,0.595,1,-11.954,1,0.283,0.00212,0.0,0.106,0.711,187.986,audio_features,2nCVH8UkoII2jWwx6SYVso,196373,4,Hiphop,Throw Ya Gunz
0.798,0.76,2,-7.623,1,0.315,0.0274,0.0,0.159,0.663,142.996,audio_features,6FDEjJjJ3QSEcV9RXj6FGa,147744,4,Underground Rap,One Punch Wulf
0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,201.98,audio_features,4iG2gAwKXsOcijVaVXzRPW,261000,3,Underground Rap,Time to Pretend
0.828,0.415,9,-12.965,1,0.326,0.0572,0.000289,0.0672,0.391,105.896,audio_features,4yDqT64kenJiIku2myr0kU,149838,4,Underground Rap,What's Next
0.571,0.784,11,-6.396,1,0.0352,0.0175,0.0,0.19,0.462,105.973,audio_features,0J3MfW6wwIBqC4zjp5AbQL,255493,4,Emo,Shattered (Turn The Car Around)
0.972,0.691,11,-4.288,1,0.0801,0.00135,5.91e-06,0.115,0.637,125.03,audio_features,57lEOoQ3Szzy1xbF89JBWR,229806,4,Rap,2 Seater (feat. G-Eazy & Offset)
0.771,0.743,0,-5.795,1,0.0547,0.00258,0.00119,0.326,0.53,157.005,audio_features,5NyxEM2J2GS0NzJr9dRBnz,135296,4,Underground Rap,TXMMY
0.82,0.635,4,-7.183,0,0.0592,0.00299,0.303,0.198,0.386,135.199,audio_features,3SPqCPKByy9sPcQaaOP44H,206034,4,Underground Rap,Nightmares & Fantasies
0.871,0.407,1,-9.334,1,0.573,0.187,0.0,0.362,0.334,200.042,audio_features,3rtHPoJedR3kirAW6RfUvo,126000,4,Dark Trap,Toe Tags & Broken Skulls
0.715,0.482,5,-9.381,0,0.445,0.231,0.0,0.143,0.686,136.297,audio_features,2nOrEg4ZHuR0cFQHeV8RnI,182520,4,Rap,Locationships
0.784,0.507,1,-7.356,1,0.286,0.223,0.00638,0.0953,0.247,140.007,audio_features,623sezkHyvuE9Pz3JIiMgm,113165,4,Underground Rap,Mist
0.676,0.578,10,-4.669,0,0.375,0.0509,0.0,0.0796,0.698,158.896,audio_features,5nzhL67GpF9szXWg5y509A,203881,4,Underground Rap,Close Friends (Lil Baby & Gunna)
0.892,0.547,5,-9.944,0,0.176,0.293,0.0,0.106,0.47,130.98,audio_features,51sCO2xe9jzwdRdS5QVPUY,153892,4,Underground Rap,Cowboy Guns
0.895,0.772,8,-6.642,1,0.207,0.0777,0.0,0.118,0.656,130.024,audio_features,3TNwTBnZn7Q6ZVhyV7uFmv,146135,4,Dark Trap,Born2Lose
0.755,0.561,0,-9.178,1,0.0467,0.00188,0.00939,0.309,0.289,115.053,audio_features,7rjkEHShjeeBFxN30g6OWm,168046,4,Dark Trap,500 on Me
0.595,0.485,7,-10.071,0,0.0379,0.42,0.112,0.131,0.0806,205.954,audio_features,2g7LE3RlGnnDwHG8vUiJiD,186553,4,Dark Trap,I Don't
0.674,0.556,1,-10.109,1,0.149,0.636,0.0,0.122,0.625,119.969,audio_features,7FtB6hG1buYuPV9Y0mtqNu,176901,4,Dark Trap,Drippin
0.819,0.687,11,-8.22,1,0.258,0.315,0.0,0.121,0.271,184.058,audio_features,02x5VJh65iYdvnt7SNiR7x,196309,4,Underground Rap,Florida Gator (feat. 03 Greedo & Prada Mack)
0.675,0.424,7,-8.176,0,0.205,0.55,0.0,0.124,0.316,196.314,audio_features,7rRSWai8dKCegNY2eHUJ1x,188571,4,Hiphop,Ready
0.815,0.328,1,-9.271,1,0.0642,0.0938,0.000108,0.12,0.0425,154.024,audio_features,48rXi2DV9ft1jsbPYERJ43,118442,1,Dark Trap,Fountain of Youth
0.52,0.673,3,-7.217,1,0.231,0.618,0.0,0.103,0.331,168.928,audio_features,4cDYVX4qk2vowfvaB0UisU,158120,4,Underground Rap,Cali
0.791,0.552,5,-8.289,0,0.0451,0.236,0.0,0.137,0.326,99.98,audio_features,1e4jcHkbKwazmvLw0ug4EL,144096,4,Rap,Dirty Dirty (feat. Lil Skies)
0.529,0.967,2,-5.066,0,0.673,0.0545,5.13e-05,0.0912,0.239,130.044,audio_features,5BfARpkatEjlsj9tiErcUA,203296,4,Dark Trap,Inhuman
0.774,0.716,8,-4.936,0,0.0438,0.307,0.0,0.0973,0.579,150.037,audio_features,792MY19uNkA4SJBqdw5a84,193618,4,RnB,Virtual (Blue Balenciagas)
0.703,0.661,6,-3.885,1,0.0539,0.0517,0.0,0.34,0.495,149.906,audio_features,5de7ci7TFqbQ1PFgKAD7MR,249240,4,Underground Rap,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)"
0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,audio_features,0Puj4YlTm6xNzDDADXHMI9,178440,4,Hiphop,Sabotage
0.467,0.848,9,-3.063,0,0.0716,0.0617,0.0,0.29,0.674,170.038,audio_features,2ZqTtndqAZDRAWw2vgZwQK,205752,4,Emo,But It's Better If You Do
0.727,0.771,10,-7.293,0,0.142,0.00206,0.0,0.354,0.333,131.917,audio_features,3ddAAWOPybU28SZW8Vzd3V,211883,4,Hiphop,Recession Proof
0.863,0.672,7,-6.311,1,0.0739,0.0446,0.0,0.166,0.338,111.11,audio_features,3Wyc7M8twhxeyaC51BcQYb,268827,4,Underground Rap,Changes
0.559,0.157,1,-10.132,1,0.0414,0.887,0.0,0.107,0.348,130.877,audio_features,202lm9YX5WmAac83tOGlVn,190430,4,Emo,Don't Watch Me Cry
0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,audio_features,39Yp9wwQiSRIDOvrVg7mbk,165978,4,Underground Rap,THE SCOTTS
0.674,0.712,1,-5.835,0,0.405,0.434,0.0,0.0968,0.641,180.378,audio_features,4IlLnCoErypT8zj9Iji60B,191000,4,RnB,Don't Let Go
0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,213594,4,Underground Rap,MIDDLE CHILD
0.776,0.677,8,-7.13,0,0.319,0.0107,0.0,0.12,0.788,174.446,audio_features,78XGMxPCST89xV3J6wakkf,249283,4,Underground Rap,Listen Close - Jazz Spastiks Remix
0.81,0.69,10,-7.841,0,0.27,0.0373,0.0,0.106,0.618,139.97,audio_features,3aQV6E290SJvasp2VOgvBz,140369,4,Underground Rap,What I Please (feat. Denzel Curry)
0.733,0.979,1,-3.973,1,0.231,0.0613,0.0,0.324,0.828,150.066,audio_features,5rc2om3q3Gkv3Pt5cxjO5t,153600,4,Trap Metal,Yes I Do
0.673,0.628,9,-5.192,1,0.0683,0.0819,0.0,0.0812,0.708,180.214,audio_features,1KKpOFUTS8B9pD5x3PevoX,263013,4,RnB,I Choose You
0.414,0.672,9,-7.814,1,0.11,0.0614,0.786,0.0705,0.0599,140.162,audio_features,5lBJgyQb96HItWhTqQfRSh,199737,4,Dark Trap,Poets
0.342,0.79,2,-11.755,1,0.0777,2.63e-05,0.0,0.0847,0.26,164.508,audio_features,29D3iSTdH5PNuugy6hG0mh,213333,4,Emo,Never Take Friendship Personal
0.318,0.942,5,-4.125,0,0.0492,0.00435,0.0,0.0962,0.486,134.879,audio_features,1UMfD9AXeunpbd2TKEtuY9,238573,4,Emo,Satellite
0.704,0.762,4,-5.687,0,0.247,0.000566,0.0383,0.122,0.254,191.959,audio_features,2twJgj3NOH8zHYxsMiIxeQ,284000,4,Hiphop,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)"
0.318,0.749,5,-4.045,0,0.0702,0.0151,0.0,0.103,0.336,117.905,audio_features,0RchWnEHETINMAyrTrlBmo,221053,3,Emo,Bleeding Out
0.898,0.653,8,-10.555,1,0.526,0.614,0.0,0.0857,0.588,128.066,audio_features,3VSc3H3iFGzKp18A5wDDTj,126419,4,Trap Metal,The Bard's Last Note
0.764,0.522,5,-7.484,0,0.0417,0.00355,0.672,0.118,0.417,140.034,audio_features,6szP0T67rm8pEcRO2hs6wG,116139,4,Underground Rap,Bone Collecting
0.792,0.512,2,-6.875,1,0.0408,0.13,8.82e-05,0.14,0.11,113.978,audio_features,41LhQUkElADQ5YUbpYv2D0,168490,4,Dark Trap,"...And To Those I Love, Thanks For Sticking Around"
0.456,0.871,1,-3.503,1,0.0464,0.00013,0.0,0.0617,0.407,149.001,audio_features,7DKS5MjMj4pbPCuartvRPK,216400,4,Emo,Jamie All Over
0.643,0.985,8,-3.094,1,0.33,0.0366,3.78e-05,0.496,0.405,112.98,audio_features,23SyAs2s7VWuUdss2lvPOq,156490,4,Trap Metal,Water Damage Never Seemed So Critical
0.809,0.707,9,-9.205,0,0.289,0.0348,2.03e-05,0.124,0.436,195.428,audio_features,5Q6DfKbpHjxdLMJmkenYKo,148107,4,Hiphop,Blunts
0.479,0.486,4,-12.353,0,0.087,0.558,2.68e-06,0.0955,0.0767,220.02,audio_features,0yOw6nJkFK1KPZLILWHQuv,196180,4,Dark Trap,Cemetery Blunts
0.726,0.651,10,-6.352,0,0.3,0.164,7.26e-06,0.303,0.382,164.113,audio_features,1PNwRnxuRfxjqnzmrmBjeo,312080,4,Rap,Hail Mary
0.614,0.351,1,-10.846,0,0.123,0.123,0.179,0.139,0.131,145.936,audio_features,1U0n4Q8eshyy1UR1rS0INr,144658,4,Dark Trap,Trite
0.622,0.585,11,-7.026,0,0.429,0.00472,2.43e-06,0.411,0.192,171.524,audio_features,1y8Qb1youzglSOMfoK0TM1,179357,4,Underground Rap,Number Game
0.727,0.489,1,-7.98,1,0.302,0.105,0.0,0.0666,0.227,192.826,audio_features,6LWpZmVDONqAqqf7fl8Lul,208667,4,Underground Rap,Make Room
0.718,0.773,6,-6.512,1,0.426,0.487,0.0,0.0926,0.764,149.714,audio_features,0c6DDLA4rsGGNXWZM5oZdS,218371,4,Underground Rap,Doubt It
0.566,0.713,10,-7.678,0,0.0541,0.353,0.201,0.115,0.0916,116.996,audio_features,0Pcw9HmO5UjfU616ECJDWY,205166,4,Dark Trap,Paradox
0.719,0.387,10,-9.38,0,0.0643,0.891,0.0,0.114,0.17,135.064,audio_features,1i9ItiMY9JrFTnqkTlm0n0,234736,4,Dark Trap,im so sick of this
0.702,0.996,0,-3.071,0,0.311,0.192,0.00182,0.125,0.106,138.066,audio_features,4iv1KfTZI6cjR18VFGlfGx,94173,4,Trap Metal,BURN
0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,190.272,audio_features,3K4HG9evC7dg3N0R9cYqk4,157333,4,Emo,One Step Closer
0.836,0.62,1,-10.35,1,0.444,0.0861,0.0,0.157,0.377,120.073,audio_features,0klescI9gPjh7lloz6NmTE,106000,4,Trap Metal,Wasted!
0.742,0.667,2,-5.809,1,0.0675,0.0558,0.0,0.337,0.252,140.785,audio_features,5bEWJmqNpTwwW9fQpus2db,183876,4,Dark Trap,Hate Me
0.797,0.54,0,-9.55,1,0.144,0.0377,0.0295,0.278,0.0876,201.41,audio_features,3mKIw9hqf7qdZMTc8s17Fb,221067,4,Underground Rap,Deep in the Night
0.393,0.805,1,-2.52,1,0.0471,0.000555,0.000137,0.0746,0.325,149.862,audio_features,1t4CqrYMLXMqYTUQqdoE8r,197200,4,Dark Trap,Sight of Your Soul
0.733,0.627,7,-8.252,0,0.0309,0.566,0.651,0.113,0.635,200.084,audio_features,7zAK0YuLjZc32mXGXwJ762,148762,4,Dark Trap,Yearn
0.671,0.808,2,-4.861,0,0.0652,0.02,0.0,0.134,0.637,121.956,audio_features,1r3myKmjWoOqRip99CmSj1,206080,4,RnB,Don't Wanna Go Home
0.649,0.958,2,-3.128,1,0.271,0.0781,5.6e-06,0.197,0.655,169.972,audio_features,38TQvbOUWviJ8wbnKS1Nh3,185704,4,Trap Metal,Errxr
0.506,0.991,1,-0.083,1,0.415,0.000673,0.075,0.325,0.56,140.056,audio_features,42NHraUFrUuO7SLKtSErZ1,91764,4,Trap Metal,VEXATION
0.776,0.388,0,-9.143,1,0.282,0.147,0.0,0.394,0.294,150.02,audio_features,1xfFPJdRjgDAaMcDgbXwyh,161000,4,Hiphop,STAR
0.794,0.5,3,-8.025,1,0.0371,0.367,0.000303,0.0458,0.831,138.003,audio_features,5rWia6d9DtaErAjnDLgZn8,189480,4,RnB,Ride It
0.682,0.637,11,-5.364,0,0.35,0.475,0.0,0.057,0.635,170.342,audio_features,4QAlsOJtMwVv3yXSlnXVs9,175099,4,Rap,Extremism
0.944,0.483,8,-8.136,1,0.326,0.0109,1.24e-06,0.168,0.258,129.955,audio_features,4Fr8C4FhQYiFmQvGyTFInT,133385,4,Dark Trap,Trees
0.815,0.496,8,-6.886,0,0.192,0.0271,3.32e-05,0.108,0.226,178.084,audio_features,7sSuZbWt1l0NsPIjb4MoG7,217480,4,Underground Rap,Fade Away
0.674,0.936,1,-2.253,1,0.126,0.0263,0.106,0.118,0.501,170.045,audio_features,4VnaSjwdWh505gy2yp7fc7,115122,4,Trap Metal,Roaches
0.732,0.633,7,-6.404,0,0.271,0.527,6.41e-05,0.174,0.629,198.088,audio_features,4aQNjbxTjgHmmIrQbn2AFx,291298,4,RnB,Young In Love
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,148.076,audio_features,7zFXmv6vqI4qOt4yGf3jYZ,278180,4,RnB,Get You (feat. Kali Uchis)
0.265,0.861,0,-3.659,1,0.05,0.0083,0.188,0.0885,0.0562,128.335,audio_features,6MiKZayMYSDnwqJAe1R0ah,253753,4,Dark Trap,Soul
0.343,0.667,10,-7.452,0,0.105,0.288,0.0,0.26,0.0964,189.156,audio_features,0vppdvHanxJYhGQUay4yUg,195171,4,Dark Trap,Eternal
0.753,0.686,1,-5.415,0,0.284,0.0677,0.0,0.193,0.886,132.055,audio_features,6wWaVoUOzLQJHd3bWAUpdZ,194732,4,Rap,"Never Recover (Lil Baby & Gunna, Drake)"
0.537,0.948,5,-3.08,0,0.38,0.158,0.0,0.356,0.761,186.057,audio_features,7fXb8yG4gCsioqzJNZOv69,286267,4,Underground Rap,Where The Hood At
0.383,0.603,8,-7.377,0,0.0319,0.394,1.51e-06,0.215,0.087,119.86,audio_features,5bZRKkPYoXGoE4iVwamv21,200000,4,Dark Trap,Luna
0.562,0.658,7,-8.072,1,0.0314,0.174,0.000285,0.102,0.268,127.81,audio_features,3JHDtmFdX9kdx9wz0md98U,315360,4,RnB,Like You'll Never See Me Again
0.638,0.534,2,-8.901,1,0.111,0.0398,0.0,0.132,0.131,179.953,audio_features,6TJDIi4bBYRRvOx0b75XmE,97917,4,Underground Rap,DarknessFalls
0.665,0.609,1,-8.188,1,0.0468,0.11,1.28e-05,0.555,0.387,188.904,audio_features,5Qf8EAiFByACnNWkDSiFrd,214600,4,RnB,Fallen
0.29,0.583,8,-6.789,1,0.0334,0.206,0.943,0.0755,0.0819,149.939,audio_features,5lumUm9WoOVKffbBBzWyWs,161964,4,Dark Trap,Painting Shadows
0.358,0.94,7,-4.274,0,0.164,0.0217,0.00779,0.0851,0.497,180.466,audio_features,6Z9syPcYlnUvpMgmjQydIG,218293,4,Underground Rap,Design in Malice
0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,audio_features,3a1lNhkSLSkpJE4MSHpDu9,220293,4,Dark Trap,Congratulations
0.72,0.806,0,-7.789,1,0.0804,0.193,0.0,0.126,0.411,122.96,audio_features,4vPNXIdTnKAMGz2G8noyJr,83304,4,Dark Trap,Klebold
0.629,0.592,8,-8.741,0,0.476,0.552,0.00791,0.131,0.883,159.454,audio_features,6SZ9Tas1wuiFNdzwfddBi6,152827,4,Underground Rap,Labor
0.73,0.37,4,-8.294,1,0.0334,0.638,0.0,0.0894,0.782,213.702,audio_features,2PouhXteejtIuvfjWvMJYH,101500,4,RnB,Call Me
0.673,0.957,3,-2.081,1,0.0764,0.212,2.22e-05,0.596,0.116,195.036,audio_features,0uW9mJFTgn08XqGLeVTHZl,137718,4,Trap Metal,Before You Make It to the Casket
0.245,0.852,9,-3.215,1,0.487,0.0329,0.242,0.76,0.165,170.312,audio_features,21aE89IjgIv1n3fmomyRBM,104471,4,Underground Rap,BLADETUCKEDFACEFUCK
0.569,0.331,10,-8.083,0,0.0352,0.625,0.0,0.141,0.183,152.06,audio_features,6Msv5ySzFyjDd1L2sx3753,145080,4,Hiphop,Text Me (feat. Era)
0.927,0.33,1,-11.088,1,0.39,0.0577,1.19e-05,0.177,0.251,197.898,audio_features,6wwAaPoX7Ce81Rn85Ntm89,208840,4,Underground Rap,Rack City
0.843,0.52,1,-9.629,1,0.541,0.0797,5.09e-06,0.0944,0.231,140.07,audio_features,4AtzZyzf00fxAaJO2LyXiO,156081,4,Dark Trap,For The Last Time
0.753,0.776,7,-8.968,1,0.244,0.0184,0.0,0.368,0.476,197.954,audio_features,7hVga2hm1Lzbn2SXrMThOo,150335,4,Underground Rap,Wait a Min
0.947,0.421,5,-8.864,0,0.166,0.0286,7.17e-05,0.116,0.308,200.012,audio_features,1PlLXlCQThvDTqocy7i5ZR,182410,4,Underground Rap,SPICY
0.572,0.848,8,-5.741,1,0.0349,0.00699,0.0,0.118,0.544,165.952,audio_features,2FkRM8aeAVIm1ZuQ9ilQoO,140871,4,Dark Trap,FAR AWAY
0.606,0.51,3,-8.837,0,0.027,0.0257,0.859,0.114,0.0392,113.943,audio_features,2AQNApCHr0YYXG6GbXYh18,246276,4,Dark Trap,Vectors
0.797,0.881,6,-3.972,0,0.063,0.282,0.0,0.107,0.835,180.074,audio_features,7sMGW6lb6zKVvLA9IHUCgG,130429,4,Underground Rap,Understand Me
0.927,0.47,0,-6.627,1,0.483,0.00914,0.0,0.133,0.417,139.913,audio_features,3S41HYesl4QpSAK4QhjcR2,96000,4,Underground Rap,Skinned Creature
0.493,0.468,10,-10.631,0,0.0399,0.0931,0.0512,0.125,0.0456,147.052,audio_features,5FYIMCMNYEUHCOS21oabeK,160008,4,Dark Trap,make it worse
0.56,0.692,8,-7.115,1,0.0288,0.00219,0.897,0.097,0.0667,140.002,audio_features,0TK7yKtuWgONydMXcGiNV7,176571,4,Dark Trap,Kate
0.42,0.983,10,-3.437,1,0.113,0.000263,0.0,0.114,0.513,149.958,audio_features,15qf0H31MChhqKr2zvejla,197200,4,Emo,All Signs Point to Lauderdale
0.879,0.591,1,-6.194,1,0.149,0.431,0.118,0.123,0.0748,134.99,audio_features,1VAFud1nSkqa7efJBxONAz,142222,4,Underground Rap,WATCH ME
0.648,0.372,2,-10.342,0,0.388,0.701,1.2e-05,0.504,0.395,124.016,audio_features,5PDOBca5JH4AKt44Ew6gLO,153077,4,Dark Trap,I'm Sorry I'm Broken
0.787,0.472,2,-9.336,1,0.36,0.00721,0.0,0.106,0.547,162.045,audio_features,2DzwSe6XVYnLVebi51zL6R,116852,4,Underground Rap,Spend It
0.688,0.611,5,-6.558,0,0.232,0.0487,0.0,0.282,0.639,160.096,audio_features,7EDKF26rFVbjX7h6gGLOMT,257133,4,Hiphop,Don't Gotta Go Home
0.67,0.572,4,-7.312,0,0.0415,0.647,4.72e-06,0.104,0.259,132.98,audio_features,1QWmKmqhv5zcsS3v45FNl0,268933,4,Rap,Cold
0.662,0.81,7,-4.279,0,0.195,0.125,0.0,0.221,0.649,212.008,audio_features,2nEwamnuBAnhSjYTaowsby,165283,4,RnB,Ain't Nothing Like The Real Thing (DJ Rob Dinero Unofficial Remix) [Marvin Gaye & Tammi Terrell]
0.371,0.874,1,-8.086,1,0.159,0.012,0.697,0.108,0.125,135.975,audio_features,21ESjjlwHdhvzoEuMA3Y9Y,271381,4,Dark Trap,Ruins
0.579,0.862,0,-8.571,0,0.106,0.0119,0.0786,0.266,0.24,118.05,audio_features,4BrOjd6eC8AgJB9uBSoqXg,227823,4,Dark Trap,Super Gt
0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,audio_features,7Bar1kLTmsRmH6FCKKMEyU,202008,4,RnB,Hit Different
0.786,0.701,7,-6.501,0,0.222,0.189,0.0,0.109,0.601,145.018,audio_features,3esaWH2z62yl2daClRTk3U,175448,4,Underground Rap,On the Low (feat. Kodak Black)
0.603,0.543,10,-7.779,0,0.204,0.396,0.00538,0.0989,0.0709,119.835,audio_features,4Eg7CMC93X3w1eLHyVWeOl,177267,4,Dark Trap,Overtime
0.706,0.589,8,-8.309,1,0.0327,0.0617,4.77e-06,0.105,0.767,96.001,audio_features,0QlzIkKGEroFzw8sqNIid6,147451,4,Rap,Kickback (feat. Lil Mosey)
0.857,0.764,1,-6.304,1,0.246,0.0398,0.0,0.425,0.578,186.142,audio_features,1RXEb6UTxJ05RffnAWfUOE,261267,4,Hiphop,Player's Ball
0.396,0.351,11,-7.839,0,0.0505,0.17,0.0127,0.241,0.257,179.906,audio_features,5aPNUqMkm6ugJBtiqIljZs,123384,4,Underground Rap,DoNotDisturb
0.921,0.586,8,-7.77,1,0.406,0.264,0.0,0.119,0.657,192.084,audio_features,5Zx9VpLotu9aFYqq61NAip,210000,4,Underground Rap,2 Vaults (feat. Lil Yachty)
0.756,0.384,6,-12.871,0,0.225,0.0335,1.63e-05,0.324,0.557,169.953,audio_features,0EKMiGVgs2H734rP99vSSp,169456,4,Underground Rap,Billie Eilish
